vm-id,vm-name,value/power_state,value/cpu_count,value/memory_size_MiB,DatacenterID,Project,JobCode,Aplication
vm-1887,pds-iotdb-t01,POWERED_ON,8,32768,6,IOT Platform,901484000196,pds-iotdb-t01
vm-2013,pds-iotapp-t02,POWERED_ON,8,32768,6,IOT Platform,901484000196,pds-iotapp-t02
vm-773,pds-present-t02,POWERED_OFF,4,8192,6,IT,901482000244,pds-present-t02
vm-774,pds-present-t03,POWERED_OFF,1,4096,6,IT,901482000244,pds-present-t03
vm-6561,pds-pmtool-p02,POWERED_ON,4,16384,6,IT,901484000120,pds-pmtool-p02
vm-916,pds-adfs-p02,POWERED_ON,2,4096,6,IT,901484000179,pds-adfs-p02
vm-917,pds-adfs-p01,POWERED_ON,2,4096,6,IT,901484000179,pds-adfs-p01
vm-918,pds-adfspx-p01,POWERED_ON,2,4096,6,IT,901484000179,pds-adfspx-p01
vm-919,pds-adfspx-p02,POWERED_ON,2,4096,6,IT,901484000179,pds-adfspx-p02
vm-1841,grp-jenmas-p01,POWERED_ON,4,8192,6,pds_enterprise_iot_platform,901484000196,grp-jenmas-p01
vm-2031,grp-chatdb-t01,POWERED_ON,4,16384,6,pds_enterprise_iot_platform,901484000196,grp-chatdb-t01
vm-7594,kvis-smdb-p01,POWERED_ON,8,32768,6,PJR-KVIS-School Management System,901482000111,kvis-smdb-p01
vm-7602,kvis-smwb-p01,POWERED_ON,8,32768,6,PJR-KVIS-School Management System,901482000111,kvis-smwb-p01
vm-2929,pds-dperfwb-p01,POWERED_ON,2,4096,6,pjt_digital_d_performance,901484000240,pds-dperfwb-p01
vm-2930,pds-dperfdb-p01,POWERED_ON,2,8192,6,pjt_digital_d_performance,901484000240,pds-dperfdb-p01
vm-2177,pds-recruit-t01,POWERED_ON,4,16384,6,POT192090 Digital E Recruit,901481000020,pds-recruit-t01
vm-3143,pds-rheltest73,POWERED_OFF,1,4096,6,pot999901_ifm_internal_use,555555555555,pds-rheltest73
vm-3144,pds-rheltest74,POWERED_OFF,1,4096,6,pot999901_ifm_internal_use,555555555555,pds-rheltest74
vm-3145,pds-rheltest76,POWERED_OFF,1,4096,6,pot999901_ifm_internal_use,555555555555,pds-rheltest76
vm-1231,pds-subca-p01,POWERED_ON,2,4096,6,pot999905_ifm_o_internal_use,901484000207,pds-subca-p01
vm-1232,pds-cacrl-p01,POWERED_ON,2,4096,6,pot999905_ifm_o_internal_use,901484000207,pds-cacrl-p01
vm-1237,pds-fbadsync-p1,POWERED_ON,8,16384,6,pot999905_ifm_o_internal_use,901484000207,pds-fbadsync-p1
vm-1064,PTTDigital-LMS-ClassWin-t01,POWERED_ON,2,4096,6,pot999945_ses_l_internal_use,901484000206,PTTDigital-LMS-ClassWin-t01
vm-1230,pds-rootca-p01,POWERED_ON,2,4096,6,pot999952_ptt_digital_internal_use,901481000772,pds-rootca-p01
vm-3692,pds-jensla-p01,POWERED_ON,4,16384,6,PTT DevOps Private Zone,901482000244,pds-jensla-p01
vm-397,pds-jira-t01,POWERED_ON,4,16384,6,PTT DevOps Private Zone,901482000244,pds-jira-t01
vm-3314,pds-erdb-p02,POWERED_ON,2,8192,6,PTT Digital E Recruit,901484000223,pds-erdb-p02
vm-2991,pds-ex-ratet01,POWERED_ON,1,4096,6,PTT digital Exchange rate,901484000161,pds-ex-ratet01
vm-3360,pds-exrate-p01,POWERED_ON,2,4096,6,ptt_digital_exchange_rate,901484000161,pds-exrate-p01
